claim_id,manuscript_area,claim,final_value,units,evidence_source,generator_stage,status,notes,manuscript_location
C015,Hard-resource validation,Gateway S1 p95 latency,2.522396,ms/flow,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_hard_resource_state_summary.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
C016,Hard-resource validation,Gateway S2 p95 latency,1.267410,ms/flow,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_hard_resource_state_summary.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
C017,Hard-resource validation,Gateway S3 p95 latency,0.632110,ms/flow,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_hard_resource_state_summary.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
C018,Workload replay,Gateway adaptive S40 mean p95 latency,347.141713,ms,evidence/tables/model_choice_lr_svm_stage_c3/stage_c3_primary_policy_comparison.csv,Stage C3,FINAL_AUTHORITATIVE,,Sec. V-D; Fig. 4
C019,Workload replay,Gateway adaptive S40 communication,122346.320571,bytes/flow,evidence/tables/model_choice_lr_svm_stage_c3/stage_c3_primary_policy_comparison.csv,Stage C3,FINAL_AUTHORITATIVE,,Sec. V-D; Fig. 4
C020,Workload replay,Gateway adaptive S40 500-ms deadline-miss rate,0.00000000,,evidence/tables/model_choice_lr_svm_stage_c3/stage_c3_primary_policy_comparison.csv,Stage C3,FINAL_AUTHORITATIVE,,Sec. V-D; Fig. 4
C021,Workload replay,Adaptive communication change versus fixed SIMD128,-0.189287,fraction,evidence/tables/model_choice_lr_svm_stage_c3/stage_c3_primary_policy_comparison.csv,Stage C3,FINAL_AUTHORITATIVE,Trade-off claim; adaptive is not universally faster than fixed SIMD128.,Sec. V-D; Fig. 4
C022,Workload replay,Adaptive throughput ratio versus fixed row-wise,2.577079,x,evidence/tables/model_choice_lr_svm_stage_c3/stage_c3_primary_policy_comparison.csv,Stage C3,FINAL_AUTHORITATIVE,,Sec. V-D; Fig. 4
C023,Policy robustness,Gateway 25% hysteresis p95 latency at 5-ms switching penalty,315.414777,ms,evidence/tables/model_choice_lr_svm_stage_c4/stage_c4_policy_robustness_deployment_screening.csv,Stage C4,FINAL_AUTHORITATIVE,,Sec. V-D (policy robustness paragraph)
C024,Policy robustness,Gateway 25% hysteresis communication at 5-ms switching penalty,121849.431129,bytes/flow,evidence/tables/model_choice_lr_svm_stage_c4/stage_c4_policy_robustness_deployment_screening.csv,Stage C4,FINAL_AUTHORITATIVE,,Sec. V-D (policy robustness paragraph)
C025,Policy robustness,Gateway 25% hysteresis switch reduction versus zero hysteresis,0.463902,fraction,evidence/tables/model_choice_lr_svm_stage_c4/stage_c4_policy_robustness_deployment_screening.csv,Stage C4,FINAL_AUTHORITATIVE,"Descriptive screened operating point, not a formal optimum.",Sec. V-D (policy robustness paragraph)
C026,External validation,IoT-23 SVM scenario-disjoint mean Macro-F1,0.759968,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_external_model_summary.csv,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E; Table VI; Fig. 5
C027,External validation,IoT-23 SVM mean ROC-AUC,0.875126,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_external_model_summary.csv,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E; Table VI; Fig. 5
C028,External validation,IoT-23 SVM mean balanced accuracy,0.792279,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_external_model_summary.csv,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E; Table VI; Fig. 5
C029,External validation,IoT-23 SVM mean FPR,0.267275,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_external_model_summary.csv,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E; Table VI; Fig. 5
C030,External validation,IoT-23 SVM mean attack recall,0.851833,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_external_model_summary.csv,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E; Table VI; Fig. 5
C031,External validation,IoT-23 SVM minus refreshed LR mean Macro-F1,+0.007182,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_external_model_summary.csv,Stage C5,FINAL_AUTHORITATIVE,No statistical-superiority claim after Holm correction.,Sec. V-E; Table VI; Fig. 5
C032,External CKKS correctness,IoT-23 S40 encrypted correctness subset size,320,cases,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_svm_ckks_summary.json,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E (external CKKS subset)
C033,External CKKS correctness,IoT-23 SVM S40 prediction agreement,1.000000,,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_svm_ckks_summary.json,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E (external CKKS subset)
C034,External CKKS correctness,IoT-23 SVM S40 maximum absolute score error,9.591543115e-07,score units,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_svm_ckks_summary.json,Stage C5,FINAL_AUTHORITATIVE,,Sec. V-E (external CKKS subset)
C035,External validation,IoT-23 scenario count,23,scenarios,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_downstream_readiness.json,Stage C5,FINAL_AUTHORITATIVE,,Sec. IV-E; Sec. V-E
C036,External validation,IoT-23 deterministic scenario/class-capped sample size,381645,rows,evidence/tables/model_choice_lr_svm_stage_c5_iot23/stage_c5_downstream_readiness.json,Stage C5,FINAL_AUTHORITATIVE,Not natural-prevalence evaluation.,Sec. IV-E; Sec. V-E
